"zpid","city","zipcode","propertyTaxRate","garageSpaces","hasAssociation","hasCooling","hasGarage","hasHeating","hasSpa","hasView","homeType","parkingSpaces","yearBuilt","latestPrice","numPriceChanges","latest_saledate","latest_salemonth","latest_saleyear","numOfPhotos","numOfAccessibilityFeatures","numOfAppliances","numOfParkingFeatures","numOfPatioAndPorchFeatures","numOfSecurityFeatures","numOfWaterfrontFeatures","numOfWindowFeatures","numOfCommunityFeatures","lotSizeSqFt","livingAreaSqFt","numOfPrimarySchools","numOfElementarySchools","numOfMiddleSchools","numOfHighSchools","avgSchoolDistance","avgSchoolRating","avgSchoolSize","MedianStudentsPerTeacher","numOfBathrooms","numOfBedrooms","numOfStories"
2084986572,"austin",78753,1.98,0,0,0,0,0,0,0,"10",0,1978,289990,2,2019-05-17,5,2019,1,0,0,0,0,0,0,0,0,7840,2344,1,0,1,1,1.16666666666667,5,814,15,0,0,1
29427072,"austin",78753,1.98,2,0,1,1,1,0,1,"1",2,1969,299000,2,2018-11-27,11,2018,42,0,7,2,0,0,0,0,0,12632.4,1640,1,0,1,1,1.4,5,814,15,2,3,1
29425572,"austin",78753,1.98,2,0,1,1,1,0,0,"1",2,1968,320000,1,2020-05-22,5,2020,42,0,1,2,2,0,0,2,0,12196.8,1971,1,0,1,1,1.2,4,838,14,2,4,1
29423352,"austin",78758,1.98,2,0,1,1,1,0,0,"1",2,1962,119800,6,2019-12-10,12,2019,2,0,5,3,1,0,0,0,0,9147,1031,1,0,1,1,0.566666666666667,4,1028,14,1,3,1
29424065,"austin",78753,1.98,0,0,1,0,1,0,0,"1",0,1974,165000,1,2018-05-14,5,2018,3,0,0,1,0,0,0,0,0,5662,956,1,0,1,1,1.1,4,838,14,2,3,1
29421352,"austin",78757,1.98,4,0,1,1,1,0,1,"1",4,1963,210000,12,2018-05-26,5,2018,55,0,1,4,0,0,0,0,0,10454,1954,1,0,1,1,0.533333333333333,4,1019,14,3,3,1
29429851,"austin",78758,1.98,1,0,1,1,1,0,0,"1",1,1971,299997,1,2018-02-22,2,2018,24,0,3,3,0,0,0,0,0,11761.2,2171,1,0,1,1,0.6,4,1028,14,3,4,1
29427064,"austin",78753,1.98,0,0,1,0,1,0,0,"1",0,1966,345000,1,2019-10-10,10,2019,27,0,1,1,2,1,0,1,0,13068,1819,1,0,1,1,1.36666666666667,5,814,15,2,3,1
29428850,"austin",78758,1.98,0,1,1,0,1,0,0,"5",0,1980,198000,1,2020-06-24,6,2020,23,0,3,1,0,0,0,0,0,4617,1316,1,0,1,1,1.16666666666667,4.33333333333333,983,14,2,3,2
29422475,"austin",78757,1.98,0,0,1,0,1,0,1,"1",0,1967,425000,1,2019-12-30,12,2019,1,0,7,1,3,2,0,1,0,8712,1600,1,0,1,1,0.633333333333333,4,1019,14,2,4,1
29431344,"austin",78758,1.98,0,0,1,0,1,0,0,"1",0,1974,285000,1,2019-05-25,5,2019,29,0,5,1,0,0,0,0,0,13503.6,1716,1,0,1,1,0.9,3.66666666666667,1002,14,2,4,1
29427062,"austin",78753,1.98,4,0,1,1,1,1,0,"1",4,1968,465000,2,2020-10-30,10,2020,75,0,5,2,2,1,0,0,0,13068,2320,1,0,1,1,1.33333333333333,5,814,15,3,4,1
29424059,"austin",78753,1.98,0,0,1,0,1,0,0,"1",0,1973,2e+05,1,2018-05-21,5,2018,11,0,1,2,0,0,0,0,0,5837,1117,1,0,1,1,1.03333333333333,4,838,14,1,3,1
